stop_word,added_matches
w,170
raw,31
fat,3
prepared,3
and,0
boiled,39
av,6
fruit,2
wo,2
in,0
drink,2
wheat,4
meat,3
bread,0
white,17
based,2
unprepared,3
sugar,6
milk,5
pork,7
sauce,3
p,0
biscuit,4
dried,13
juice,11
powder,4
tinned,14
low,2
100,0
dutch,1
cream,5
formula,0
ml,0
sausage,6
wholemeal,13
fortified,1
cake,4
brown,10
frozen,5
on,0
g,0
toddler,0
vegetables,3
gravy,1
salted,6
skin,18
fried,1
for,2
soup,4
nuts,5
instant,3
apple,0
seeds,15
s,0
syrup,19
cereal,0
margarine,0
standaard,0
canned,10
minced,11
product,0
red,2
breakfast,0
salad,3
made,5
oven,2
vegetarian,2
cooked,11
5,2
vegetable,3
prep,2
unsalted,8
spiced,0
water,4
liver,3
sweetener,3
added,0
no,0
mix,4
fresh,15
filled,4
spread,4
light,6
smoked,6
glass,1
infant,0
sat,0
paste,3
dairy,3
calcium,1
free,2
1,1
frying,9
flavoured,1
fa,0
soft,1
sodium,9
4,0
turkish,2
2,0
cabbage,4
whole,10
full,9
ice,3
processed,4
microwave,0
ingredients,7
pickled,3
pastry,0
liquid,0
bacon,0
vit,0
green,6
kellogg,0
custard,2
ready,0
clear,0
salt,4
10,2
3,0
lean,7
months,0
roll,5
homemade,1
to,1
plain,3
30,0
vitamins,7
crisps,3
25,0
rib,8
schnitzel,8
food,2
deep,0
fillet,5
cho,0
mixed,8
porridge,3
puff,4
dark,3
chop,0
20,1
50,0
multigrain,0
bar,4
fibre,1
iron,1
fine,4
8,1
60,0
baby,0
ontbijtkoek,8
stewing,10
prod,0
albert,0
heijn,6
mashed,3
excl,4
12,1
whipped,4
quark,6
flan,2
40,1
48,1
ball,4
surinam,4
hard,3
plant,0
alternative,1
hero,5
stir,0
cocktail,0
blancmange,4
rye,0
currant,4
coarse,8
filling,3
half,6
vol,0
alcohol,1
flakes,8
sprinkles,6
sweetened,4
concentrate,3
type,3
candybar,0
45,0
b12,1
17,0
biologisch,3
chinese,0
raisins,0
french,4
black,4
sponge,3
products,0
soaked,2
gouda,2
flavours,0
leaves,6
pumpkin,0
noodles,5
dressing,1
sports,0
conc,0
crunchy,6
thickend,0
age,0
jumbo,6
baked,4
liga,0
natural,2
becel,1
pate,0
caffeine,3
15,0
dish,0
bakery,4
pieces,3
hot,0
snacks,2
waffle,0
average,3
shoulder,6
tenderloin,3
7,0
cakes,1
puffed,4
from,2
cooking,0
gluten,5
herbs,2
etos,7
kale,0
curly,5
margarin,1
puree,4
melon,1
barley,1
6,1
pie,0
snack,1
creamer,0
unsweetened,2
croquette,0
liqueur,1
m,1
gum,3
c,2
coated,4
bran,0
yellow,2
not,0
packet,0
herb,2
seasoning,3
rolled,0
nutrilon,6
eclair,5
braadworst,6
cracker,1
blue,1
80,0
17g,0
mths,2
nestle,0